Time:  2:27:40,90 
2026-01-28 02:27:46,254 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:46,456 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:46,457 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:46,467 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:46,669 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:46,670 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:46,750 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:46,870 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:46,871 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:47,029 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:47,324 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:47,620 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:47,885 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:48,103 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:48,104 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:48,156 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:48,320 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:48,321 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:48,420 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:48,537 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:48,537 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:48,703 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:48,753 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:48,754 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:48,936 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:48,937 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:48,983 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:49,251 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:49,521 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:49,810 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:50,095 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:50,168 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:50,185 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:50,185 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:50,202 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:50,203 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:50,371 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:50,386 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:50,386 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:50,392 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '“X' (Conf: 85)
2026-01-28 02:27:50,406 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:50,407 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:50,585 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:50,602 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:50,602 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:50,620 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:50,620 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:50,683 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:50,684 - INFO - [vision_engine.py:1278] - OCR RAW (Day): 'aN' Conf: 85.0
2026-01-28 02:27:50,785 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:50,801 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:50,802 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:50,820 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:50,820 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:50,962 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:51,002 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:51,018 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:51,019 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:51,243 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:51,522 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:51,801 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:52,053 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:52,054 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:52,082 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:52,107 - INFO - [state_service.py:328] - GAME EVENT: SYSTEM_RESOURCE_STATS
2026-01-28 02:27:52,253 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:52,254 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:52,377 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:52,453 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:52,454 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:52,653 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:52,654 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:52,667 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:52,870 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:52,870 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:52,940 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:53,229 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:53,539 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:53,827 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:54,104 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:54,104 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:54,110 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:54,320 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:54,321 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:54,395 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:54,520 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:54,520 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:54,669 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:54,736 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:54,737 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:54,938 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:54,938 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:54,938 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:55,118 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:55,136 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:55,137 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:55,201 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:55,318 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:55,335 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:55,335 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:55,476 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:55,518 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:55,535 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:55,535 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:55,735 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:55,751 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:55,752 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:55,755 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
